Id,SalePrice
1461,124614.48291560737
1463,185034.45265103885
1464,175858.01650813658
1465,199578.8059856221
1466,180052.2546577151
1468,172979.6939900125
1469,188796.9381975862
1470,128229.04312859582
1471,204529.5028193414
1476,314463.6884523808
1477,251800.03639919974
1479,298546.8541898264
1481,281736.3154282608
1482,210940.60417838267
1483,181025.2400953249
1484,177947.37887700595
1485,179972.79602887054
1486,205644.5957265489
1488,255857.01412794963
1489,208583.64566133468
1491,195333.0022073345
1492,103740.64645478717
1495,291761.8898021498
1496,219296.87797847242
1497,184647.83844991014
1498,159687.88263226082
1504,236160.9515024612
1505,221514.11095644286
1507,215519.02034507957
1510,153913.84673180137
1511,148333.66068747753
1515,162187.9424748157
1517,145732.72749100515
1521,141128.4947772436
1523,121835.14301108712
1528,124343.67397868422
1529,141782.9582059208
1532,103519.0325667786
1534,115996.98628019629
1535,147963.8347879406
1539,276251.6055054212
1541,148863.1138298649
1542,148381.53864727353
1544,85292.70499492959
1545,98069.81836570335
1547,136455.6127076656
1548,134160.81360081118
1549,102274.14676853869
1550,141671.50969617817
1551,114749.77289855153
1553,139376.14166931857
1555,175705.14659344516
1558,91895.4986350423
1562,126256.42863232773
1563,123608.96313829401
1565,146537.57602669793
1567,87796.47772600013
1570,121034.80315975836
1572,142015.83269706124
1573,221106.67661580068
1577,201482.99085696088
1578,156281.3920072263
1579,143296.15632767152
1582,129873.6028987517
1584,238557.93110937954
1586,72121.98497710472
1587,109356.34507452096
1588,142358.58367165452
1589,105935.7498814629
1590,133355.22085575262
1591,106953.88530589356
1592,130346.85028017544
1599,201866.24338386505
1600,194396.1010586729
1601,78831.65291570636
1605,262783.80575584195
1608,216216.80761211467
1609,196999.12738790803
1610,164630.61170450915
1611,140093.5025883035
1612,179842.19863195793
1618,127330.61763433504
1621,136791.79430302558
1625,126725.80639788763
1627,188469.9500650408
1629,179024.8442824826
1631,243784.74452705588
1632,253096.4031338022
1633,173696.0059116558
1634,179715.75693560913
1636,160032.99324609037
1639,176308.05807121724
1641,180020.19752409396
1642,230282.39691135215
1646,154736.1237346657
1647,156242.48957442047
1650,127426.98520367409
1651,125313.46921853458
1662,319955.8134746116
1665,313131.4072103597
1668,326313.4470578343
1669,294944.1030387173
1670,333803.4029464211
1673,286874.2435013876
1675,190573.34239895723
1676,191122.25742898718
1677,219780.05877435755
1680,321851.81182117073
1683,196199.56181407813
1684,179102.9543429437
1685,173297.09145497833
1686,174792.9657178924
1687,177895.68436222777
1688,194822.027224018
1689,188941.64861968913
1693,177874.3330060312
1694,180306.30229825832
1695,170516.84940062455
1697,170101.1437800758
1698,293735.73797983344
1700,262377.14951750706
1702,256984.27876513655
1703,260809.1950237241
1704,281876.1094061782
1705,243306.2701331563
1708,218205.24314269418
1709,259113.1505331189
1710,233994.29262989698
1711,290067.7724769636
1712,251998.3139175525
1713,250160.9604270797
1714,221249.85601806425
1715,197470.5786159739
1716,191939.94332116065
1717,178452.01149394983
1718,127756.5111779822
1719,212972.6378546037
1721,177703.63361375948
1722,125758.15698315059
1723,161476.86081685752
1724,219344.02770938913
1725,226523.7013255599
1726,185663.09796515453
1727,175422.26222794782
1743,175131.698814037
1745,232748.90827936764
1746,280033.88301206735
1748,193589.9042662977
1750,143147.52214389053
1753,151165.06015900025
1757,118739.04637491312
1760,155911.33305139525
1763,158266.20835523438
1764,114950.39703297154
1768,138624.1577444879
1770,150581.7062673564
1775,132333.32184699038
1777,113672.08629603022
1778,124758.78131255011
1779,128530.11226739852
1780,173984.70697093534
1781,123268.04398547066
1782,104955.54961199987
1784,108940.65558429202
1785,112926.20021743391
1787,187470.18249559286
1788,70758.6509133839
1789,97611.10101648106
1790,89543.27101415979
1793,139249.61407646842
1794,138427.88969069437
1795,136714.51150450757
1796,129868.98157210361
1798,123747.57618055823
1799,110142.287539891
1800,129311.41645144604
1801,142725.71820373597
1804,138828.58179619987
1805,132670.90185689888
1806,132835.4952734687
1808,120787.18633076677
1809,129352.53023857082
1810,143547.55357212713
1813,124715.66223450932
1814,104814.94063348536
1815,60774.53653094144
1816,101705.49275781283
1817,139100.4588980645
1818,161787.41811584105
1819,111849.15968047292
1822,144547.73368523878
1823,74291.37278379562
1825,133776.05205005355
1827,110991.72740943178
1830,150162.2213796358
1831,192448.22028480368
1833,144552.1348790407
1836,142457.96938091013
1837,106343.66324640442
1842,99957.66509373476
1843,139977.9102561363
1850,128231.09736797825
1851,143688.93914277508
1852,123647.32313477065
1853,142874.85461823616
1854,184590.84465305024
1855,145376.15018351888
1856,226937.82026957054
1867,239678.12026832122
1869,205985.40922612132
1870,234471.8074775257
1871,258710.36882744342
1872,173772.03817370397
1874,139843.34413209034
1875,212959.5030531988
1876,194469.62001221333
1877,216564.1777936285
1878,218844.07077667778
1880,135553.0318604301
1885,248315.3412051668
1887,216580.3355646313
1889,170920.76822829185
1890,136133.9807610762
1892,115855.23606920114
1893,141142.68192070883
1895,141702.83801874533
1896,119453.02598970073
1897,114041.36827716875
1898,97959.0739594662
1899,127046.64600617292
1901,153327.74450599492
1906,147514.58420126373
1914,79078.59437571498
1917,269667.5531759111
1918,134214.88420139777
1919,152634.20434349703
1920,180075.68347740153
1925,224285.40934991214
1927,133620.61206897045
1928,170874.06808303576
1931,138013.74031628552
1932,136456.3557028375
1934,174457.50642395258
1935,178218.10344987345
1936,187488.20176011746
1938,179787.59725224972
1939,272441.62488146
1940,198371.37534523764
1941,175934.49716107166
1943,202257.920298983
1944,300637.51659112633
1945,342368.5282209258
1947,325739.295782018
1949,243466.94083367116
1954,212733.866749274
1955,138360.1895534476
1957,162412.168958191
1960,111141.39002741124
1967,292342.1554184682
1973,268254.02767781337
