id,Hardness
10407,1.7122977
10408,2.9514453
10409,5.6065226
10410,3.7785156
10411,5.215435
10412,4.314337
10413,3.9435148
10414,5.0660343
10415,4.2621484
10416,5.1363907
10417,3.120615
10418,4.421284
10419,6.0678368
10420,4.1717944
10421,5.64237
10422,5.6549025
10423,5.5543585
10424,5.1548357
10425,5.280179
10426,3.072949
10427,3.6318946
10428,4.6910686
10429,5.507683
10430,3.3034317
10431,4.6438017
10432,5.523658
10433,5.3821435
10434,5.668501
10435,5.848772
10436,5.6180754
10437,5.3816276
10438,5.978487
10439,5.7350726
10440,4.737529
10441,3.230804
10442,3.5205042
10443,2.6723382
10444,4.2090783
10445,5.3193874
10446,3.7204106
10447,5.613613
10448,6.1041555
10449,5.4797573
10450,5.686925
10451,5.4283714
10452,2.5982106
10453,5.66032
10454,4.6224113
10455,2.985638
10456,2.4203813
10457,2.5985632
10458,10.076537
10459,5.328517
10460,3.2018774
10461,5.777045
10462,5.059208
10463,5.566189
10464,5.5302906
10465,2.9592638
10466,5.9007645
10467,5.614045
10468,3.0355377
10469,5.3775015
10470,5.038261
10471,5.504468
10472,2.6062126
10473,5.7495713
10474,2.6696663
10475,5.805909
10476,3.7014852
10477,5.7379894
10478,4.4096465
10479,4.421343
10480,4.727824
10481,4.0741434
10482,5.8324623
10483,5.893795
10484,1.9899919
10485,4.232441
10486,2.2264607
10487,2.8876455
10488,5.3978467
10489,4.1233177
10490,3.9880884
10491,5.634123
10492,6.5157013
10493,3.0097024
10494,3.3434048
10495,3.5094624
10496,3.3445847
10497,5.224768
10498,5.696891
10499,6.0648127
10500,3.4798093
10501,3.3096788
10502,7.944245
10503,5.603359
10504,5.7621946
10505,3.0459833
10506,3.6517324
10507,5.8366275
10508,2.672743
10509,3.4679787
10510,4.271839
10511,2.4415545
10512,5.543806
10513,5.536911
10514,4.132258
10515,2.3313627
10516,3.7586522
10517,5.7055044
10518,5.1671147
10519,5.788837
10520,5.8346596
10521,4.1343927
10522,5.504327
10523,4.7460403
10524,4.3822002
10525,4.3152914
10526,2.7387004
10527,6.109327
10528,5.767458
10529,4.5455127
10530,3.4363437
10531,5.023831
10532,5.416647
10533,5.3955464
10534,6.4008927
10535,5.273192
10536,4.3821726
10537,4.28854
10538,5.5707636
10539,5.727413
10540,3.0350654
10541,2.7740068
10542,4.5158663
10543,5.5976744
10544,4.396889
10545,3.8064902
10546,5.717339
10547,5.5019574
10548,5.2535896
10549,4.5524106
10550,5.6374984
10551,4.77313
10552,5.6354904
10553,5.6455646
10554,4.2558727
10555,2.6682887
10556,5.5204544
10557,5.772395
10558,5.63198
10559,4.271464
10560,2.3350782
10561,4.8201838
10562,5.7156425
10563,4.2975845
10564,2.234669
10565,3.699099
10566,3.7737627
10567,4.065992
10568,3.811177
10569,5.0115743
10570,5.4158053
10571,5.924126
10572,5.6594515
10573,5.216116
10574,2.5115345
10575,4.4019356
10576,2.1647937
10577,10.383422
10578,4.9925632
10579,5.7844896
10580,3.203245
10581,5.790875
10582,3.7822142
10583,2.8856962
10584,4.014872
10585,2.9665565
10586,3.0534048
10587,5.956465
10588,3.3684373
10589,5.651239
10590,4.005679
10591,5.841997
10592,2.750372
10593,5.7324433
10594,5.748327
10595,5.5693536
10596,5.09641
10597,6.3696985
10598,4.696476
10599,5.699497
10600,2.8517408
10601,5.6081386
10602,4.4756184
10603,5.692666
10604,5.8649864
10605,10.589128
10606,3.1181774
10607,5.8830576
10608,5.503642
10609,10.080595
10610,5.8857746
10611,5.60395
10612,5.887989
10613,5.7533917
10614,5.616023
10615,5.8062434
10616,7.185934
10617,5.639996
10618,2.9697433
10619,5.766348
10620,5.6816072
10621,4.0279293
10622,3.6243584
10623,5.774083
10624,5.4535375
10625,5.6274624
10626,3.885498
10627,5.5768275
10628,5.785621
10629,5.448162
10630,1.7857289
10631,5.676179
10632,3.6813002
10633,2.9704933
10634,3.3931057
10635,4.2627554
10636,4.853426
10637,4.157832
10638,2.903449
10639,5.9301715
10640,5.8137593
10641,3.9997783
10642,2.6292763
10643,10.686431
10644,4.19441
10645,5.689785
10646,2.8140402
10647,5.7509193
10648,5.5585947
10649,5.718917
10650,3.46967
10651,5.6936426
10652,5.8376484
10653,5.531308
10654,3.3742945
10655,3.9215946
10656,5.6143055
10657,4.3678308
10658,5.925116
10659,5.5439763
10660,3.451448
10661,4.6026716
10662,3.9566798
10663,6.0661716
10664,3.625103
10665,5.9393687
10666,4.9353085
10667,5.516383
10668,5.776944
10669,4.0266666
10670,3.6545928
10671,3.6808033
10672,3.003342
10673,3.1069317
10674,3.352356
10675,4.41943
10676,1.8352106
10677,4.027014
10678,3.9781682
10679,2.38906
10680,5.6766005
10681,3.9471474
10682,4.473031
10683,4.61771
10684,2.8376374
10685,5.4024363
10686,2.9892147
10687,5.487047
10688,5.5864935
10689,4.8582625
10690,4.3557315
10691,5.791095
10692,5.3888483
10693,5.3794956
10694,5.284976
10695,4.208949
10696,5.535759
10697,5.3704395
10698,2.9786777
10699,1.9570076
10700,3.0799088
10701,5.237438
10702,5.6701875
10703,5.1422615
10704,3.176343
10705,5.6707854
10706,5.8499064
10707,6.389882
10708,3.3011663
10709,2.8627286
10710,4.6489906
10711,4.9954143
10712,6.044391
10713,2.2598891
10714,3.3073914
10715,5.5731463
10716,5.3337564
10717,5.974818
10718,4.953095
10719,5.8502755
10720,5.645443
10721,4.95582
10722,2.8766963
10723,3.0348213
10724,4.926635
10725,10.68483
10726,3.0827289
10727,2.9734378
10728,3.4984345
10729,5.743678
10730,5.9279356
10731,6.0085597
10732,3.6465392
10733,2.6989803
10734,5.6995683
10735,5.6933117
10736,5.8335004
10737,4.9543457
10738,5.3524323
10739,3.232016
10740,2.7100441
10741,5.6674156
10742,3.084128
10743,4.3286676
10744,3.6943798
10745,5.474273
10746,4.380498
10747,2.6904511
10748,6.377372
10749,4.4019794
10750,4.865425
10751,5.383057
10752,4.6254416
10753,3.4732852
10754,6.6176963
10755,5.6640806
10756,3.9091544
10757,3.8000228
10758,3.9346454
10759,2.6814103
10760,5.6581187
10761,6.090301
10762,5.733181
10763,5.2388906
10764,4.924162
10765,4.850827
10766,5.7265234
10767,4.459063
10768,5.8162346
10769,5.579258
10770,5.71867
10771,2.769519
10772,5.6265483
10773,2.7558703
10774,5.694659
10775,5.427925
10776,5.03616
10777,10.684265
10778,5.7760544
10779,5.3888416
10780,2.4649482
10781,4.711453
10782,5.5024953
10783,3.664325
10784,5.9394913
10785,5.9021883
10786,4.1247168
10787,6.2088675
10788,5.75741
10789,5.446575
10790,3.907029
10791,3.9767356
10792,5.677143
10793,5.678442
10794,5.175138
10795,5.598487
10796,3.9644048
10797,5.7173934
10798,5.4987764
10799,6.0229144
10800,3.0731628
10801,5.735903
10802,4.8300524
10803,4.1732655
10804,5.5786724
10805,5.423891
10806,5.8579574
10807,5.739509
10808,4.7761908
10809,2.205205
10810,4.516012
10811,4.255655
10812,3.4105392
10813,4.5986385
10814,6.077274
10815,2.9887905
10816,4.739603
10817,5.5679703
10818,3.8340409
10819,5.6964855
10820,5.9737344
10821,2.4821284
10822,2.9496286
10823,4.982394
10824,5.3970356
10825,5.725889
10826,4.1955557
10827,5.4649525
10828,3.6711435
10829,5.8091497
10830,5.6400824
10831,4.7933702
10832,5.883773
10833,5.925128
10834,4.5912886
10835,5.1168785
10836,4.0267744
10837,5.461342
10838,4.235642
10839,2.17038
10840,5.397249
10841,4.178037
10842,6.447178
10843,3.9999688
10844,3.0987809
10845,3.947072
10846,5.1973643
10847,5.8028555
10848,3.5899706
10849,5.6771383
10850,5.632658
10851,2.7290368
10852,5.121964
10853,4.334955
10854,4.902126
10855,4.63571
10856,4.6343756
10857,5.616585
10858,6.948196
10859,5.158977
10860,5.838834
10861,5.8955984
10862,5.7318974
10863,4.999331
10864,5.690548
10865,5.6891785
10866,4.9146643
10867,10.686338
10868,4.9363966
10869,4.0805144
